消费地点,日期,时间段,消费金额
人文社科,2019-04-01,07:00-08:00,0.0
人文社科,2019-04-01,08:00-09:00,0.0
人文社科,2019-04-01,09:00-10:00,0.0
人文社科,2019-04-01,10:00-11:00,0.0
人文社科,2019-04-01,11:00-12:00,0.0
人文社科,2019-04-01,12:00-13:00,0.0
人文社科,2019-04-01,13:00-14:00,0.0
人文社科,2019-04-01,14:00-15:00,0.0
人文社科,2019-04-01,15:00-16:00,0.0
人文社科,2019-04-01,16:00-17:00,0.0
人文社科,2019-04-01,17:00-18:00,0.0
人文社科,2019-04-01,18:00-19:00,0.0
人文社科,2019-04-01,19:00-20:00,0.0
人文社科,2019-04-01,20:00-21:00,0.0
人文社科,2019-04-01,21:00-22:00,0.0
人文社科,2019-04-01,22:00-23:00,0.0
人文社科,2019-04-02,07:00-08:00,0.0
人文社科,2019-04-02,08:00-09:00,0.0
人文社科,2019-04-02,09:00-10:00,0.0
人文社科,2019-04-02,10:00-11:00,0.0
人文社科,2019-04-02,11:00-12:00,0.0
人文社科,2019-04-02,12:00-13:00,0.0
人文社科,2019-04-02,13:00-14:00,0.0
人文社科,2019-04-02,14:00-15:00,0.0
人文社科,2019-04-02,15:00-16:00,0.0
人文社科,2019-04-02,16:00-17:00,0.0
人文社科,2019-04-02,17:00-18:00,0.0
人文社科,2019-04-02,18:00-19:00,0.0
人文社科,2019-04-02,19:00-20:00,0.0
人文社科,2019-04-02,20:00-21:00,0.0
人文社科,2019-04-02,21:00-22:00,0.0
人文社科,2019-04-02,22:00-23:00,0.0
人文社科,2019-04-03,07:00-08:00,0.0
人文社科,2019-04-03,08:00-09:00,0.0
人文社科,2019-04-03,09:00-10:00,0.0
人文社科,2019-04-03,10:00-11:00,0.0
人文社科,2019-04-03,11:00-12:00,0.0
人文社科,2019-04-03,12:00-13:00,0.0
人文社科,2019-04-03,13:00-14:00,0.0
人文社科,2019-04-03,14:00-15:00,0.0
人文社科,2019-04-03,15:00-16:00,0.0
人文社科,2019-04-03,16:00-17:00,0.0
人文社科,2019-04-03,17:00-18:00,0.0
人文社科,2019-04-03,18:00-19:00,0.0
人文社科,2019-04-03,19:00-20:00,0.0
人文社科,2019-04-03,20:00-21:00,0.0
人文社科,2019-04-03,21:00-22:00,0.0
人文社科,2019-04-03,22:00-23:00,0.0
人文社科,2019-04-04,07:00-08:00,0.0
人文社科,2019-04-04,08:00-09:00,0.0
人文社科,2019-04-04,09:00-10:00,0.0
人文社科,2019-04-04,10:00-11:00,0.0
人文社科,2019-04-04,11:00-12:00,0.0
人文社科,2019-04-04,12:00-13:00,0.0
人文社科,2019-04-04,13:00-14:00,0.0
人文社科,2019-04-04,14:00-15:00,0.0
人文社科,2019-04-04,15:00-16:00,0.0
人文社科,2019-04-04,16:00-17:00,0.0
人文社科,2019-04-04,17:00-18:00,0.0
人文社科,2019-04-04,18:00-19:00,0.0
人文社科,2019-04-04,19:00-20:00,0.0
人文社科,2019-04-04,20:00-21:00,0.0
人文社科,2019-04-04,21:00-22:00,0.0
人文社科,2019-04-04,22:00-23:00,0.0
人文社科,2019-04-05,07:00-08:00,0.0
人文社科,2019-04-05,08:00-09:00,0.0
人文社科,2019-04-05,09:00-10:00,0.0
人文社科,2019-04-05,10:00-11:00,0.0
人文社科,2019-04-05,11:00-12:00,0.0
人文社科,2019-04-05,12:00-13:00,0.0
人文社科,2019-04-05,13:00-14:00,0.0
人文社科,2019-04-05,14:00-15:00,0.0
人文社科,2019-04-05,15:00-16:00,0.0
人文社科,2019-04-05,16:00-17:00,0.0
人文社科,2019-04-05,17:00-18:00,0.0
人文社科,2019-04-05,18:00-19:00,0.0
人文社科,2019-04-05,19:00-20:00,0.0
人文社科,2019-04-05,20:00-21:00,0.0
人文社科,2019-04-05,21:00-22:00,0.0
人文社科,2019-04-05,22:00-23:00,0.0
人文社科,2019-04-06,07:00-08:00,0.0
人文社科,2019-04-06,08:00-09:00,0.0
人文社科,2019-04-06,09:00-10:00,0.0
人文社科,2019-04-06,10:00-11:00,0.0
人文社科,2019-04-06,11:00-12:00,0.0
人文社科,2019-04-06,12:00-13:00,0.0
人文社科,2019-04-06,13:00-14:00,0.0
人文社科,2019-04-06,14:00-15:00,0.0
人文社科,2019-04-06,15:00-16:00,0.0
人文社科,2019-04-06,16:00-17:00,0.0
人文社科,2019-04-06,17:00-18:00,0.0
人文社科,2019-04-06,18:00-19:00,0.0
人文社科,2019-04-06,19:00-20:00,0.0
人文社科,2019-04-06,20:00-21:00,0.0
人文社科,2019-04-06,21:00-22:00,0.0
人文社科,2019-04-06,22:00-23:00,0.0
人文社科,2019-04-07,07:00-08:00,0.0
人文社科,2019-04-07,08:00-09:00,0.0
人文社科,2019-04-07,09:00-10:00,0.0
人文社科,2019-04-07,10:00-11:00,0.0
人文社科,2019-04-07,11:00-12:00,0.0
人文社科,2019-04-07,12:00-13:00,0.0
人文社科,2019-04-07,13:00-14:00,0.0
人文社科,2019-04-07,14:00-15:00,0.0
人文社科,2019-04-07,15:00-16:00,0.0
人文社科,2019-04-07,16:00-17:00,0.0
人文社科,2019-04-07,17:00-18:00,0.0
人文社科,2019-04-07,18:00-19:00,0.0
人文社科,2019-04-07,19:00-20:00,0.0
人文社科,2019-04-07,20:00-21:00,0.0
人文社科,2019-04-07,21:00-22:00,0.0
人文社科,2019-04-07,22:00-23:00,0.0
人文社科,2019-04-08,07:00-08:00,0.0
人文社科,2019-04-08,08:00-09:00,0.0
人文社科,2019-04-08,09:00-10:00,0.0
人文社科,2019-04-08,10:00-11:00,0.0
