消费地点,日期,每日总消费次数
人文社科,2019-04-01,0
人文社科,2019-04-02,0
人文社科,2019-04-03,0
人文社科,2019-04-04,0
人文社科,2019-04-05,0
人文社科,2019-04-06,0
人文社科,2019-04-07,0
人文社科,2019-04-08,0
人文社科,2019-04-09,0
人文社科,2019-04-10,0
人文社科,2019-04-11,0
人文社科,2019-04-12,0
人文社科,2019-04-13,0
人文社科,2019-04-14,0
人文社科,2019-04-15,0
人文社科,2019-04-16,0
人文社科,2019-04-17,0
人文社科,2019-04-18,0
人文社科,2019-04-19,0
人文社科,2019-04-20,0
人文社科,2019-04-21,0
人文社科,2019-04-22,0
人文社科,2019-04-23,0
人文社科,2019-04-24,8
人文社科,2019-04-25,0
人文社科,2019-04-26,70
人文社科,2019-04-27,31
人文社科,2019-04-28,0
人文社科,2019-04-29,0
人文社科,2019-04-30,0
医务室,2019-04-01,31
医务室,2019-04-02,39
医务室,2019-04-03,40
医务室,2019-04-04,33
医务室,2019-04-05,3
医务室,2019-04-06,1
医务室,2019-04-07,3
医务室,2019-04-08,39
医务室,2019-04-09,37
医务室,2019-04-10,39
医务室,2019-04-11,38
医务室,2019-04-12,19
医务室,2019-04-13,23
医务室,2019-04-14,24
医务室,2019-04-15,26
医务室,2019-04-16,48
医务室,2019-04-17,33
医务室,2019-04-18,30
医务室,2019-04-19,26
医务室,2019-04-20,17
医务室,2019-04-21,24
医务室,2019-04-22,45
医务室,2019-04-23,34
医务室,2019-04-24,26
医务室,2019-04-25,25
医务室,2019-04-26,21
医务室,2019-04-27,1
医务室,2019-04-28,0
医务室,2019-04-29,18
医务室,2019-04-30,22
基础课部,2019-04-01,0
基础课部,2019-04-02,0
基础课部,2019-04-03,9
基础课部,2019-04-04,0
基础课部,2019-04-05,0
基础课部,2019-04-06,2
基础课部,2019-04-07,5
基础课部,2019-04-08,5
基础课部,2019-04-09,4
基础课部,2019-04-10,3
基础课部,2019-04-11,1
基础课部,2019-04-12,0
基础课部,2019-04-13,6
基础课部,2019-04-14,5
基础课部,2019-04-15,2
基础课部,2019-04-16,0
基础课部,2019-04-17,6
基础课部,2019-04-18,0
基础课部,2019-04-19,0
基础课部,2019-04-20,3
基础课部,2019-04-21,3
基础课部,2019-04-22,0
基础课部,2019-04-23,0
基础课部,2019-04-24,0
基础课部,2019-04-25,0
基础课部,2019-04-26,0
基础课部,2019-04-27,0
基础课部,2019-04-28,0
基础课部,2019-04-29,3
基础课部,2019-04-30,5
好利来食品店,2019-04-01,1459
好利来食品店,2019-04-02,1195
好利来食品店,2019-04-03,1251
好利来食品店,2019-04-04,1311
好利来食品店,2019-04-05,587
好利来食品店,2019-04-06,453
好利来食品店,2019-04-07,465
好利来食品店,2019-04-08,1429
好利来食品店,2019-04-09,1405
好利来食品店,2019-04-10,1309
好利来食品店,2019-04-11,1497
好利来食品店,2019-04-12,1274
好利来食品店,2019-04-13,584
好利来食品店,2019-04-14,546
好利来食品店,2019-04-15,1291
好利来食品店,2019-04-16,1404
好利来食品店,2019-04-17,1306
好利来食品店,2019-04-18,1442
好利来食品店,2019-04-19,1288
好利来食品店,2019-04-20,656
好利来食品店,2019-04-21,598
好利来食品店,2019-04-22,1328
好利来食品店,2019-04-23,1373
好利来食品店,2019-04-24,1269
好利来食品店,2019-04-25,1369
好利来食品店,2019-04-26,1143
好利来食品店,2019-04-27,609
好利来食品店,2019-04-28,0
好利来食品店,2019-04-29,638
好利来食品店,2019-04-30,687
教师食堂,2019-04-01,92
教师食堂,2019-04-02,108
教师食堂,2019-04-03,107
教师食堂,2019-04-04,93
教师食堂,2019-04-05,0
教师食堂,2019-04-06,0
教师食堂,2019-04-07,0
教师食堂,2019-04-08,93
教师食堂,2019-04-09,113
教师食堂,2019-04-10,99
教师食堂,2019-04-11,119
教师食堂,2019-04-12,79
教师食堂,2019-04-13,0
教师食堂,2019-04-14,0
教师食堂,2019-04-15,110
教师食堂,2019-04-16,109
教师食堂,2019-04-17,104
教师食堂,2019-04-18,130
教师食堂,2019-04-19,85
教师食堂,2019-04-20,0
教师食堂,2019-04-21,0
教师食堂,2019-04-22,113
教师食堂,2019-04-23,110
教师食堂,2019-04-24,104
教师食堂,2019-04-25,121
教师食堂,2019-04-26,88
教师食堂,2019-04-27,0
教师食堂,2019-04-28,0
教师食堂,2019-04-29,0
教师食堂,2019-04-30,0
水电缴费处,2019-04-01,81
水电缴费处,2019-04-02,165
水电缴费处,2019-04-03,169
水电缴费处,2019-04-04,145
水电缴费处,2019-04-05,0
水电缴费处,2019-04-06,0
水电缴费处,2019-04-07,0
水电缴费处,2019-04-08,128
水电缴费处,2019-04-09,100
水电缴费处,2019-04-10,122
水电缴费处,2019-04-11,92
水电缴费处,2019-04-12,202
水电缴费处,2019-04-13,0
水电缴费处,2019-04-14,53
水电缴费处,2019-04-15,134
水电缴费处,2019-04-16,164
水电缴费处,2019-04-17,226
水电缴费处,2019-04-18,255
水电缴费处,2019-04-19,187
水电缴费处,2019-04-20,0
水电缴费处,2019-04-21,142
水电缴费处,2019-04-22,308
水电缴费处,2019-04-23,154
水电缴费处,2019-04-24,112
水电缴费处,2019-04-25,158
水电缴费处,2019-04-26,160
水电缴费处,2019-04-27,0
水电缴费处,2019-04-28,0
水电缴费处,2019-04-29,0
水电缴费处,2019-04-30,79
第一图书馆,2019-04-01,10
第一图书馆,2019-04-02,19
第一图书馆,2019-04-03,23
第一图书馆,2019-04-04,12
第一图书馆,2019-04-05,0
