消费地点,日期,每日总消费金额
人文社科,2019-04-01,0.0
人文社科,2019-04-02,0.0
人文社科,2019-04-03,0.0
人文社科,2019-04-04,0.0
人文社科,2019-04-05,0.0
人文社科,2019-04-06,0.0
人文社科,2019-04-07,0.0
人文社科,2019-04-08,0.0
人文社科,2019-04-09,0.0
人文社科,2019-04-10,0.0
人文社科,2019-04-11,0.0
人文社科,2019-04-12,0.0
人文社科,2019-04-13,0.0
人文社科,2019-04-14,0.0
人文社科,2019-04-15,0.0
人文社科,2019-04-16,0.0
人文社科,2019-04-17,0.0
人文社科,2019-04-18,0.0
人文社科,2019-04-19,0.0
人文社科,2019-04-20,0.0
人文社科,2019-04-21,0.0
人文社科,2019-04-22,0.0
人文社科,2019-04-23,0.0
人文社科,2019-04-24,55.0
人文社科,2019-04-25,0.0
人文社科,2019-04-26,257.0
人文社科,2019-04-27,105.0
人文社科,2019-04-28,0.0
人文社科,2019-04-29,0.0
人文社科,2019-04-30,0.0
医务室,2019-04-01,106.6
医务室,2019-04-02,199.5
医务室,2019-04-03,235.6
医务室,2019-04-04,270.6
医务室,2019-04-05,23.8
医务室,2019-04-06,8.7
医务室,2019-04-07,17.6
医务室,2019-04-08,196.5
医务室,2019-04-09,219.5
医务室,2019-04-10,202.3
医务室,2019-04-11,191.05
医务室,2019-04-12,117.3
医务室,2019-04-13,150.3
医务室,2019-04-14,128.0
医务室,2019-04-15,157.85
医务室,2019-04-16,286.3
医务室,2019-04-17,219.8
医务室,2019-04-18,164.8
医务室,2019-04-19,124.5
医务室,2019-04-20,116.4
医务室,2019-04-21,128.8
医务室,2019-04-22,243.4
医务室,2019-04-23,122.0
医务室,2019-04-24,141.8
医务室,2019-04-25,104.1
医务室,2019-04-26,107.4
医务室,2019-04-27,3.1
医务室,2019-04-28,0.0
医务室,2019-04-29,140.9
医务室,2019-04-30,138.8
基础课部,2019-04-01,0.0
基础课部,2019-04-02,0.0
基础课部,2019-04-03,72.0
基础课部,2019-04-04,0.0
基础课部,2019-04-05,0.0
基础课部,2019-04-06,20.0
基础课部,2019-04-07,36.0
基础课部,2019-04-08,40.0
基础课部,2019-04-09,24.0
基础课部,2019-04-10,15.0
基础课部,2019-04-11,5.0
基础课部,2019-04-12,0.0
基础课部,2019-04-13,45.0
基础课部,2019-04-14,31.0
基础课部,2019-04-15,15.0
基础课部,2019-04-16,0.0
基础课部,2019-04-17,54.0
基础课部,2019-04-18,0.0
基础课部,2019-04-19,0.0
基础课部,2019-04-20,32.0
基础课部,2019-04-21,12.0
基础课部,2019-04-22,0.0
基础课部,2019-04-23,0.0
基础课部,2019-04-24,0.0
基础课部,2019-04-25,0.0
基础课部,2019-04-26,0.0
基础课部,2019-04-27,0.0
基础课部,2019-04-28,0.0
基础课部,2019-04-29,15.0
基础课部,2019-04-30,35.0
好利来食品店,2019-04-01,6595.8
好利来食品店,2019-04-02,5491.2
好利来食品店,2019-04-03,5619.7
好利来食品店,2019-04-04,5866.4
好利来食品店,2019-04-05,3065.3
好利来食品店,2019-04-06,2408.4
好利来食品店,2019-04-07,2475.1
好利来食品店,2019-04-08,6374.3
好利来食品店,2019-04-09,6309.8
好利来食品店,2019-04-10,5779.8
好利来食品店,2019-04-11,6477.4
好利来食品店,2019-04-12,5791.1
好利来食品店,2019-04-13,2937.2
好利来食品店,2019-04-14,2806.3
好利来食品店,2019-04-15,5796.3
好利来食品店,2019-04-16,6203.8
好利来食品店,2019-04-17,5453.2
好利来食品店,2019-04-18,6212.15
好利来食品店,2019-04-19,5757.0
好利来食品店,2019-04-20,3391.4
好利来食品店,2019-04-21,2855.9
好利来食品店,2019-04-22,5985.1
好利来食品店,2019-04-23,6155.45
好利来食品店,2019-04-24,5631.68
好利来食品店,2019-04-25,5819.4
好利来食品店,2019-04-26,5306.1
好利来食品店,2019-04-27,3694.4
好利来食品店,2019-04-28,0.0
好利来食品店,2019-04-29,3069.7
好利来食品店,2019-04-30,3310.3
教师食堂,2019-04-01,776.0
教师食堂,2019-04-02,981.0
教师食堂,2019-04-03,951.0
教师食堂,2019-04-04,829.0
教师食堂,2019-04-05,0.0
教师食堂,2019-04-06,0.0
教师食堂,2019-04-07,0.0
教师食堂,2019-04-08,760.5
教师食堂,2019-04-09,1055.0
教师食堂,2019-04-10,838.5
教师食堂,2019-04-11,1058.0
教师食堂,2019-04-12,694.5
教师食堂,2019-04-13,0.0
教师食堂,2019-04-14,0.0
教师食堂,2019-04-15,933.0
教师食堂,2019-04-16,899.5
教师食堂,2019-04-17,979.5
教师食堂,2019-04-18,1148.5
教师食堂,2019-04-19,766.0
教师食堂,2019-04-20,0.0
教师食堂,2019-04-21,0.0
教师食堂,2019-04-22,940.0
教师食堂,2019-04-23,976.5
教师食堂,2019-04-24,908.5
教师食堂,2019-04-25,1068.5
教师食堂,2019-04-26,772.5
教师食堂,2019-04-27,0.0
教师食堂,2019-04-28,0.0
教师食堂,2019-04-29,0.0
教师食堂,2019-04-30,0.0
水电缴费处,2019-04-01,64.4
水电缴费处,2019-04-02,225.5
水电缴费处,2019-04-03,213.9
水电缴费处,2019-04-04,252.8
水电缴费处,2019-04-05,0.0
水电缴费处,2019-04-06,0.0
水电缴费处,2019-04-07,0.0
水电缴费处,2019-04-08,168.4
水电缴费处,2019-04-09,250.8
水电缴费处,2019-04-10,219.7
水电缴费处,2019-04-11,175.4
水电缴费处,2019-04-12,274.3
水电缴费处,2019-04-13,0.0
水电缴费处,2019-04-14,86.9
水电缴费处,2019-04-15,240.1
水电缴费处,2019-04-16,308.4
水电缴费处,2019-04-17,324.5
水电缴费处,2019-04-18,298.1
水电缴费处,2019-04-19,155.8
水电缴费处,2019-04-20,0.0
水电缴费处,2019-04-21,130.1
水电缴费处,2019-04-22,273.29
水电缴费处,2019-04-23,232.0
水电缴费处,2019-04-24,179.9
水电缴费处,2019-04-25,279.91
水电缴费处,2019-04-26,251.5
水电缴费处,2019-04-27,0.0
水电缴费处,2019-04-28,0.0
水电缴费处,2019-04-29,0.0
水电缴费处,2019-04-30,153.2
第一图书馆,2019-04-01,5.4
第一图书馆,2019-04-02,40.7
第一图书馆,2019-04-03,38.8
第一图书馆,2019-04-04,31.7
第一图书馆,2019-04-05,0.0
第一图书馆,2019-04-06,0.0
第一图书馆,2019-04-07,0.0
第一图书馆,2019-04-08,44.9
第一图书馆,2019-04-09,42.3
第一图书馆,2019-04-10,22.6
第一图书馆,2019-04-11,6.0
第一图书馆,2019-04-12,31.1
第一图书馆,2019-04-13,0.0
第一图书馆,2019-04-14,0.0
第一图书馆,2019-04-15,15.3
第一图书馆,2019-04-16,51.5
第一图书馆,2019-04-17,22.9
第一图书馆,2019-04-18,14.8
第一图书馆,2019-04-19,21.5
第一图书馆,2019-04-20,0.0
第一图书馆,2019-04-21,0.0
第一图书馆,2019-04-22,37.7
第一图书馆,2019-04-23,15.8
第一图书馆,2019-04-24,19.1
第一图书馆,2019-04-25,5.2
第一图书馆,2019-04-26,15.7
第一图书馆,2019-04-27,0.0
第一图书馆,2019-04-28,0.0
第一图书馆,2019-04-29,0.0
第一图书馆,2019-04-30,0.0
第一食堂,2019-04-01,6533.91
第一食堂,2019-04-02,6000.15
第一食堂,2019-04-03,6889.43
第一食堂,2019-04-04,7367.21
第一食堂,2019-04-05,13221.69
第一食堂,2019-04-06,10602.49
第一食堂,2019-04-07,7435.46
第一食堂,2019-04-08,6850.89
第一食堂,2019-04-09,7340.4
第一食堂,2019-04-10,7936.7
第一食堂,2019-04-11,6216.45
第一食堂,2019-04-12,4695.29
第一食堂,2019-04-13,2876.8
第一食堂,2019-04-14,2742.7
第一食堂,2019-04-15,6089.41
第一食堂,2019-04-16,6883.45
第一食堂,2019-04-17,6079.5
第一食堂,2019-04-18,5489.1
第一食堂,2019-04-19,4641.86
第一食堂,2019-04-20,2319.89
第一食堂,2019-04-21,2453.76
第一食堂,2019-04-22,5367.4
第一食堂,2019-04-23,6599.1
第一食堂,2019-04-24,5685.3
第一食堂,2019-04-25,5597.4
第一食堂,2019-04-26,3365.2
第一食堂,2019-04-27,0.0
第一食堂,2019-04-28,0.0
第一食堂,2019-04-29,3800.7
第一食堂,2019-04-30,4250.6
第七教学楼,2019-04-01,0.0
第七教学楼,2019-04-02,0.0
第七教学楼,2019-04-03,0.0
第七教学楼,2019-04-04,0.0
第七教学楼,2019-04-05,0.0
第七教学楼,2019-04-06,0.0
第七教学楼,2019-04-07,0.0
第七教学楼,2019-04-08,0.0
第七教学楼,2019-04-09,0.0
第七教学楼,2019-04-10,0.0
第七教学楼,2019-04-11,0.0
第七教学楼,2019-04-12,0.0
第七教学楼,2019-04-13,0.0
第七教学楼,2019-04-14,15.0
第七教学楼,2019-04-15,0.0
第七教学楼,2019-04-16,0.0
第七教学楼,2019-04-17,0.0
第七教学楼,2019-04-18,0.0
第七教学楼,2019-04-19,0.0
第七教学楼,2019-04-20,10.0
第七教学楼,2019-04-21,0.0
第七教学楼,2019-04-22,20.0
第七教学楼,2019-04-23,0.0
第七教学楼,2019-04-24,20.0
第七教学楼,2019-04-25,40.0
第七教学楼,2019-04-26,0.0
第七教学楼,2019-04-27,0.0
第七教学楼,2019-04-28,0.0
第七教学楼,2019-04-29,0.0
第七教学楼,2019-04-30,40.0
第三食堂,2019-04-01,11081.61
第三食堂,2019-04-02,11157.96
第三食堂,2019-04-03,11000.2
第三食堂,2019-04-04,11576.0
第三食堂,2019-04-05,8101.8
第三食堂,2019-04-06,7773.2
第三食堂,2019-04-07,7980.2
第三食堂,2019-04-08,11981.79
第三食堂,2019-04-09,12449.55
第三食堂,2019-04-10,12044.15
第三食堂,2019-04-11,11421.9
第三食堂,2019-04-12,12890.9
第三食堂,2019-04-13,6001.9
第三食堂,2019-04-14,5988.2
第三食堂,2019-04-15,11472.1
第三食堂,2019-04-16,11867.1
第三食堂,2019-04-17,12581.7
第三食堂,2019-04-18,11741.26
第三食堂,2019-04-19,10509.7
第三食堂,2019-04-20,8071.7
第三食堂,2019-04-21,7206.5
第三食堂,2019-04-22,12366.1
第三食堂,2019-04-23,12267.95
第三食堂,2019-04-24,11570.09
第三食堂,2019-04-25,12166.33
第三食堂,2019-04-26,8939.9
第三食堂,2019-04-27,0.0
第三食堂,2019-04-28,0.0
第三食堂,2019-04-29,7623.6
第三食堂,2019-04-30,7522.35
