消费地点,日期,时间段,消费次数
红太阳超市,2019-04-01,07:00-08:00,17
红太阳超市,2019-04-01,08:00-09:00,7
红太阳超市,2019-04-01,09:00-10:00,32
红太阳超市,2019-04-01,10:00-11:00,16
红太阳超市,2019-04-01,11:00-12:00,30
红太阳超市,2019-04-01,12:00-13:00,48
红太阳超市,2019-04-01,13:00-14:00,14
红太阳超市,2019-04-01,14:00-15:00,22
红太阳超市,2019-04-01,15:00-16:00,10
红太阳超市,2019-04-01,16:00-17:00,63
红太阳超市,2019-04-01,17:00-18:00,28
红太阳超市,2019-04-01,18:00-19:00,54
红太阳超市,2019-04-01,19:00-20:00,31
红太阳超市,2019-04-01,20:00-21:00,25
红太阳超市,2019-04-01,21:00-22:00,37
红太阳超市,2019-04-01,22:00-23:00,31
红太阳超市,2019-04-02,07:00-08:00,0
红太阳超市,2019-04-02,08:00-09:00,14
红太阳超市,2019-04-02,09:00-10:00,9
红太阳超市,2019-04-02,10:00-11:00,14
红太阳超市,2019-04-02,11:00-12:00,10
红太阳超市,2019-04-02,12:00-13:00,41
红太阳超市,2019-04-02,13:00-14:00,59
红太阳超市,2019-04-02,14:00-15:00,8
红太阳超市,2019-04-02,15:00-16:00,14
红太阳超市,2019-04-02,16:00-17:00,10
红太阳超市,2019-04-02,17:00-18:00,56
红太阳超市,2019-04-02,18:00-19:00,32
红太阳超市,2019-04-02,19:00-20:00,53
红太阳超市,2019-04-02,20:00-21:00,29
红太阳超市,2019-04-02,21:00-22:00,17
红太阳超市,2019-04-02,22:00-23:00,33
红太阳超市,2019-04-03,07:00-08:00,19
红太阳超市,2019-04-03,08:00-09:00,5
红太阳超市,2019-04-03,09:00-10:00,2
红太阳超市,2019-04-03,10:00-11:00,12
红太阳超市,2019-04-03,11:00-12:00,8
红太阳超市,2019-04-03,12:00-13:00,43
红太阳超市,2019-04-03,13:00-14:00,42
红太阳超市,2019-04-03,14:00-15:00,17
红太阳超市,2019-04-03,15:00-16:00,30
红太阳超市,2019-04-03,16:00-17:00,5
红太阳超市,2019-04-03,17:00-18:00,57
红太阳超市,2019-04-03,18:00-19:00,40
红太阳超市,2019-04-03,19:00-20:00,55
红太阳超市,2019-04-03,20:00-21:00,27
红太阳超市,2019-04-03,21:00-22:00,8
红太阳超市,2019-04-03,22:00-23:00,49
红太阳超市,2019-04-04,07:00-08:00,0
红太阳超市,2019-04-04,08:00-09:00,12
红太阳超市,2019-04-04,09:00-10:00,6
红太阳超市,2019-04-04,10:00-11:00,16
红太阳超市,2019-04-04,11:00-12:00,10
红太阳超市,2019-04-04,12:00-13:00,35
红太阳超市,2019-04-04,13:00-14:00,54
红太阳超市,2019-04-04,14:00-15:00,31
红太阳超市,2019-04-04,15:00-16:00,20
红太阳超市,2019-04-04,16:00-17:00,29
红太阳超市,2019-04-04,17:00-18:00,14
红太阳超市,2019-04-04,18:00-19:00,47
红太阳超市,2019-04-04,19:00-20:00,56
红太阳超市,2019-04-04,20:00-21:00,34
红太阳超市,2019-04-04,21:00-22:00,11
红太阳超市,2019-04-04,22:00-23:00,41
红太阳超市,2019-04-05,07:00-08:00,13
红太阳超市,2019-04-05,08:00-09:00,19
红太阳超市,2019-04-05,09:00-10:00,16
红太阳超市,2019-04-05,10:00-11:00,13
红太阳超市,2019-04-05,11:00-12:00,47
红太阳超市,2019-04-05,12:00-13:00,90
红太阳超市,2019-04-05,13:00-14:00,19
红太阳超市,2019-04-05,14:00-15:00,16
红太阳超市,2019-04-05,15:00-16:00,10
红太阳超市,2019-04-05,16:00-17:00,16
红太阳超市,2019-04-05,17:00-18:00,32
红太阳超市,2019-04-05,18:00-19:00,64
红太阳超市,2019-04-05,19:00-20:00,38
红太阳超市,2019-04-05,20:00-21:00,22
红太阳超市,2019-04-05,21:00-22:00,21
红太阳超市,2019-04-05,22:00-23:00,24
红太阳超市,2019-04-06,07:00-08:00,5
红太阳超市,2019-04-06,08:00-09:00,5
红太阳超市,2019-04-06,09:00-10:00,14
红太阳超市,2019-04-06,10:00-11:00,11
红太阳超市,2019-04-06,11:00-12:00,26
红太阳超市,2019-04-06,12:00-13:00,38
红太阳超市,2019-04-06,13:00-14:00,16
红太阳超市,2019-04-06,14:00-15:00,12
红太阳超市,2019-04-06,15:00-16:00,12
红太阳超市,2019-04-06,16:00-17:00,8
红太阳超市,2019-04-06,17:00-18:00,34
红太阳超市,2019-04-06,18:00-19:00,42
红太阳超市,2019-04-06,19:00-20:00,23
红太阳超市,2019-04-06,20:00-21:00,12
红太阳超市,2019-04-06,21:00-22:00,25
红太阳超市,2019-04-06,22:00-23:00,31
红太阳超市,2019-04-07,07:00-08:00,2
红太阳超市,2019-04-07,08:00-09:00,5
红太阳超市,2019-04-07,09:00-10:00,18
红太阳超市,2019-04-07,10:00-11:00,11
红太阳超市,2019-04-07,11:00-12:00,29
红太阳超市,2019-04-07,12:00-13:00,60
红太阳超市,2019-04-07,13:00-14:00,16
红太阳超市,2019-04-07,14:00-15:00,12
红太阳超市,2019-04-07,15:00-16:00,9
红太阳超市,2019-04-07,16:00-17:00,20
红太阳超市,2019-04-07,17:00-18:00,21
红太阳超市,2019-04-07,18:00-19:00,25
红太阳超市,2019-04-07,19:00-20:00,27
红太阳超市,2019-04-07,20:00-21:00,14
红太阳超市,2019-04-07,21:00-22:00,21
红太阳超市,2019-04-07,22:00-23:00,27
红太阳超市,2019-04-08,07:00-08:00,0
红太阳超市,2019-04-08,08:00-09:00,15
红太阳超市,2019-04-08,09:00-10:00,24
红太阳超市,2019-04-08,10:00-11:00,24
红太阳超市,2019-04-08,11:00-12:00,43
红太阳超市,2019-04-08,12:00-13:00,48
红太阳超市,2019-04-08,13:00-14:00,14
红太阳超市,2019-04-08,14:00-15:00,23
红太阳超市,2019-04-08,15:00-16:00,9
红太阳超市,2019-04-08,16:00-17:00,67
红太阳超市,2019-04-08,17:00-18:00,53
红太阳超市,2019-04-08,18:00-19:00,72
红太阳超市,2019-04-08,19:00-20:00,45
红太阳超市,2019-04-08,20:00-21:00,21
红太阳超市,2019-04-08,21:00-22:00,56
红太阳超市,2019-04-08,22:00-23:00,38
红太阳超市,2019-04-09,07:00-08:00,32
红太阳超市,2019-04-09,08:00-09:00,3
红太阳超市,2019-04-09,09:00-10:00,18
红太阳超市,2019-04-09,10:00-11:00,15
红太阳超市,2019-04-09,11:00-12:00,28
红太阳超市,2019-04-09,12:00-13:00,27
红太阳超市,2019-04-09,13:00-14:00,8
红太阳超市,2019-04-09,14:00-15:00,24
红太阳超市,2019-04-09,15:00-16:00,7
红太阳超市,2019-04-09,16:00-17:00,71
红太阳超市,2019-04-09,17:00-18:00,32
红太阳超市,2019-04-09,18:00-19:00,45
红太阳超市,2019-04-09,19:00-20:00,30
红太阳超市,2019-04-09,20:00-21:00,18
红太阳超市,2019-04-09,21:00-22:00,60
红太阳超市,2019-04-09,22:00-23:00,36
红太阳超市,2019-04-10,07:00-08:00,18
红太阳超市,2019-04-10,08:00-09:00,8
红太阳超市,2019-04-10,09:00-10:00,13
红太阳超市,2019-04-10,10:00-11:00,8
红太阳超市,2019-04-10,11:00-12:00,37
红太阳超市,2019-04-10,12:00-13:00,52
红太阳超市,2019-04-10,13:00-14:00,18
红太阳超市,2019-04-10,14:00-15:00,23
