消费地点,日期,时间段,消费次数
第二食堂,2019-04-01,07:00-08:00,1398
第二食堂,2019-04-01,08:00-09:00,241
第二食堂,2019-04-01,09:00-10:00,322
第二食堂,2019-04-01,10:00-11:00,73
第二食堂,2019-04-01,11:00-12:00,1314
第二食堂,2019-04-01,12:00-13:00,451
第二食堂,2019-04-01,13:00-14:00,16
第二食堂,2019-04-01,14:00-15:00,10
第二食堂,2019-04-01,15:00-16:00,8
第二食堂,2019-04-01,16:00-17:00,171
第二食堂,2019-04-01,17:00-18:00,439
第二食堂,2019-04-01,18:00-19:00,569
第二食堂,2019-04-01,19:00-20:00,113
第二食堂,2019-04-01,20:00-21:00,65
第二食堂,2019-04-01,21:00-22:00,96
第二食堂,2019-04-01,22:00-23:00,9
第二食堂,2019-04-02,07:00-08:00,1196
第二食堂,2019-04-02,08:00-09:00,361
第二食堂,2019-04-02,09:00-10:00,328
第二食堂,2019-04-02,10:00-11:00,127
第二食堂,2019-04-02,11:00-12:00,1587
第二食堂,2019-04-02,12:00-13:00,485
第二食堂,2019-04-02,13:00-14:00,11
第二食堂,2019-04-02,14:00-15:00,1
第二食堂,2019-04-02,15:00-16:00,5
第二食堂,2019-04-02,16:00-17:00,213
第二食堂,2019-04-02,17:00-18:00,579
第二食堂,2019-04-02,18:00-19:00,466
第二食堂,2019-04-02,19:00-20:00,116
第二食堂,2019-04-02,20:00-21:00,96
第二食堂,2019-04-02,21:00-22:00,81
第二食堂,2019-04-02,22:00-23:00,38
第二食堂,2019-04-03,07:00-08:00,1376
第二食堂,2019-04-03,08:00-09:00,115
第二食堂,2019-04-03,09:00-10:00,63
第二食堂,2019-04-03,10:00-11:00,255
第二食堂,2019-04-03,11:00-12:00,96
第二食堂,2019-04-03,12:00-13:00,1388
第二食堂,2019-04-03,13:00-14:00,495
第二食堂,2019-04-03,14:00-15:00,12
第二食堂,2019-04-03,15:00-16:00,28
第二食堂,2019-04-03,16:00-17:00,269
第二食堂,2019-04-03,17:00-18:00,930
第二食堂,2019-04-03,18:00-19:00,629
第二食堂,2019-04-03,19:00-20:00,139
第二食堂,2019-04-03,20:00-21:00,52
第二食堂,2019-04-03,21:00-22:00,198
第二食堂,2019-04-03,22:00-23:00,130
第二食堂,2019-04-04,07:00-08:00,1516
第二食堂,2019-04-04,08:00-09:00,331
第二食堂,2019-04-04,09:00-10:00,360
第二食堂,2019-04-04,10:00-11:00,131
第二食堂,2019-04-04,11:00-12:00,1455
第二食堂,2019-04-04,12:00-13:00,472
第二食堂,2019-04-04,13:00-14:00,36
第二食堂,2019-04-04,14:00-15:00,1
第二食堂,2019-04-04,15:00-16:00,8
第二食堂,2019-04-04,16:00-17:00,155
第二食堂,2019-04-04,17:00-18:00,922
第二食堂,2019-04-04,18:00-19:00,421
第二食堂,2019-04-04,19:00-20:00,104
第二食堂,2019-04-04,20:00-21:00,43
第二食堂,2019-04-04,21:00-22:00,175
第二食堂,2019-04-04,22:00-23:00,79
第二食堂,2019-04-05,07:00-08:00,0
